tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
rna-XM_043145796.1	gene-E1B28_000001	730.084	768.553	752.378	759.857	740.085	760.791	768.411	757.435	765.137	775.17	768.1	765.657	745.59	712.394	743.749	748.604	744.964	766.559	761.848	771.814	776.581	741.844	775.557
rna-XM_043145797.1	gene-E1B28_000002	2314.084	2352.553	2336.378	2343.857	2324.085	2344.791	2352.411	2341.435	2349.137	2359.17	2352.1	2349.657	2329.59	2296.394	2327.748	2332.599	2328.964	2350.559	2345.848	2355.814	2360.581	2325.844	2359.557
rna-XM_043145798.1	gene-E1B28_000003	1783.084	1821.553	1805.378	1812.857	1793.085	1813.791	1821.411	1810.435	1818.137	1828.17	1821.1	1818.657	1798.59	1765.394	1796.748	1801.599	1797.964	1819.559	1814.848	1824.814	1829.581	1794.844	1828.557
rna-XM_043145799.1	gene-E1B28_000004	2119.084	2157.553	2141.378	2148.857	2129.085	2149.791	2157.411	2146.435	2154.137	2164.17	2157.1	2154.657	2134.59	2101.394	2132.748	2137.599	2133.964	2155.559	2150.848	2160.814	2165.581	2130.844	2164.557
rna-XM_043145800.1	gene-E1B28_000005	1372.084	1410.553	1394.378	1401.857	1382.085	1402.791	1410.411	1399.435	1407.137	1417.17	1410.1	1407.657	1387.59	1354.394	1385.748	1390.599	1386.964	1408.559	1403.848	1413.814	1418.581	1383.844	1417.557
rna-XM_043145801.1	gene-E1B28_000006	1354.084	1392.553	1376.378	1383.857	1364.085	1384.791	1392.411	1381.435	1389.137	1399.17	1392.1	1389.657	1369.59	1336.394	1367.748	1372.599	1368.964	1390.559	1385.848	1395.814	1400.581	1365.844	1399.557
rna-XM_043145802.1	gene-E1B28_000007	2362.084	2400.553	2384.378	2391.857	2372.085	2392.791	2400.411	2389.435	2397.137	2407.17	2400.1	2397.657	2377.59	2344.394	2375.748	2380.599	2376.964	2398.559	2393.848	2403.814	2408.581	2373.844	2407.557
rna-XM_043145803.1	gene-E1B28_000008	685.084	723.553	707.378	714.857	695.085	715.791	723.411	712.435	720.139	730.17	723.1	720.657	700.59	667.402	698.749	703.608	699.964	721.559	716.848	726.814	731.581	696.845	730.558
rna-XM_043145804.1	gene-E1B28_000009	89.687	112.657	102.189	106.701	94.702	110.476	113.148	105.113	111.4	116.946	114.022	110.754	96.243	72.352	95.801	104.936	96.046	112.33	104.229	116.581	117.518	96.785	116.026
rna-XM_043145805.1	gene-E1B28_000010	996.084	1034.553	1018.378	1025.857	1006.085	1026.791	1034.411	1023.435	1031.137	1041.17	1034.1	1031.657	1011.59	978.394	1009.748	1014.599	1010.964	1032.559	1027.848	1037.814	1042.581	1007.844	1041.557
